uc_id,department,enterprise_ai_type,enterprise_ai_label,technical_ai_type,title,purpose,audience,governance_level,data_primary,story,folder_path,status
UC-06-01,Fraud Management,analytic,Analytic AI,ML,Fraud Risk Scoring,Predicts probability of fraud per transaction,"Analytics, Risk, Ops",medium,Historical transactions,"This transaction has an 87% fraud probability because of these 5 signals.",B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-01,downloaded
UC-06-02,Fraud Management,analytic,Analytic AI,DL,Sequential Fraud Detection,Detects fraud patterns across transaction sequences using LSTM/Transformers,"Analytics, Risk",medium,Historical transactions,Model detected a sequence of 4 transactions matching known fraud typology.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-02,downloaded
UC-06-03,Fraud Management,analytic,Analytic AI,NLP,Fraud Complaints Text Analysis,Mines fraud case notes and complaint text for patterns,"Analytics, Risk, Ops",medium,Live context + knowledge,These 12 complaints share language patterns indicating organized fraud ring.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-03,downloaded
UC-06-04,Fraud Management,analytic,Analytic AI,NLP,Fraud Case Notes Analysis (RBA),Analyzes risk-based authentication events and investigator notes,"Analytics, Risk",medium,Historical transactions,Login from new device in unusual location flagged with 92% anomaly score.,B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-04,downloaded
UC-06-05,Fraud Management,transactional,Transactional / Assistive AI,RAG,Fraud Investigation Copilot,Assists investigators with policy + past case retrieval in real time,"Frontline, Supervisors",highest,Live context + knowledge,"Here is the relevant policy section and 3 similar past cases with outcomes.",B_Risk_Fraud_and_Financial_Crime/06_Fraud_Management/data/UC-06-05,missing
UC-07-01,Credit Risk & Lending,analytic,Analytic AI,ML,Credit Scoring (PD/LGD/EAD),Predicts default likelihood using probability of default models,"Analytics, Risk",medium,Historical transactions,This applicant has a 4.2% PD driven by DTI ratio and employment length.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-01,downloaded
UC-07-02,Credit Risk & Lending,analytic,Analytic AI,ML,Lending Club Credit Scoring,Scores loan applications for approval/rejection,"Analytics, Risk",medium,Historical transactions,Loan application scored at B2 grade based on 47 features.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-02,downloaded
UC-07-03,Credit Risk & Lending,analytic,Analytic AI,DL,Alternative Data Credit Models,Deep learning credit models using alternative data sources,"Analytics, Risk",medium,Historical transactions,Non-traditional signals improved default prediction by 12% for thin-file customers.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-03,downloaded
UC-07-04,Credit Risk & Lending,analytic,Analytic AI,NLP,Financial Statement Parsing,Extracts financial metrics from unstructured documents,"Analytics, Risk",medium,Live context + knowledge,Extracted 23 financial ratios from annual report for automated spreading.,B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-04,missing
UC-07-05,Credit Risk & Lending,transactional,Transactional / Assistive AI,RAG,Underwriter Assist Copilot,Explains decision rationale grounded in credit policy,"Frontline, Supervisors",highest,Live context + knowledge,"Recommended approval with these conditions, citing Policy Section 4.3.2.",B_Risk_Fraud_and_Financial_Crime/07_Credit_Risk_Management/data/UC-07-05,missing
UC-08-01,AML / Financial Crime,analytic,Analytic AI,ML,AML Alert Prioritization,Ranks AML alerts by risk to focus investigator effort,"Analytics, Risk, Ops",medium,Historical transactions,Alert ranked #3 of 847 today because of network and velocity signals.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-01,downloaded
UC-08-02,AML / Financial Crime,analytic,Analytic AI,DL,Network/Graph Laundering Detection,Detects money laundering through transaction graph analysis,"Analytics, Risk",medium,Historical transactions,Graph analysis identified 3-hop cycle involving 7 accounts across 4 banks.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-02,downloaded
UC-08-03,AML / Financial Crime,transactional,Transactional / Assistive AI,NLP,SAR Narrative Drafting Assistant,Assists investigators in drafting Suspicious Activity Reports,"Frontline, Ops",highest,Live context + knowledge,"Draft SAR narrative generated with cited evidence, ready for review.",B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-03,downloaded
UC-08-04,AML / Financial Crime,transactional,Transactional / Assistive AI,RAG,AML Investigator Copilot,Assists AML investigators with regulations and case lookup,"Frontline, Supervisors",highest,Live context + knowledge,Relevant FATF typology and 2 matching historical cases retrieved.,B_Risk_Fraud_and_Financial_Crime/08_AML_Financial_Crime/data/UC-08-04,downloaded
UC-09-01,Collections & Recovery,analytic,Analytic AI,ML,Delinquency Prediction,Predicts which accounts will become delinquent,"Analytics, Risk, Ops",medium,Historical transactions,Account has 34% probability of 60+ DPD in next 90 days.,B_Risk_Fraud_and_Financial_Crime/09_Collections_and_Recovery/data/UC-09-01,downloaded
